Time: 81.2622170448 seconds, RAM: 37.70703125 Mb.
Time: 73.8873300552 seconds, RAM: 37.74609375 Mb.
Time: 72.8780448437 seconds, RAM: 37.88671875 Mb.
Time: 71.8950099945 seconds, RAM: 37.47265625 Mb.
Time: 74.5879790783 seconds, RAM: 37.6015625 Mb.
Time: 78.1643021107 seconds, RAM: 38.1171875 Mb.
Time: 76.6579720974 seconds, RAM: 37.94921875 Mb.
Time: 92.5404629707 seconds, RAM: 37.87890625 Mb.
Time: 91.9323568344 seconds, RAM: 37.5546875 Mb.
Time: 77.7362318039 seconds, RAM: 37.859375 Mb.
Time: 78.7594177723 seconds, RAM: 37.8203125 Mb.
Time: 86.5644621849 seconds, RAM: 37.4765625 Mb.
Time: 88.0933318138 seconds, RAM: 37.7109375 Mb.
Time: 84.3129661083 seconds, RAM: 37.96875 Mb.
Time: 75.1228320599 seconds, RAM: 37.6796875 Mb.
Time: 87.8276088238 seconds, RAM: 37.44921875 Mb.
Time: 81.7956929207 seconds, RAM: 37.99609375 Mb.
Time: 88.1106851101 seconds, RAM: 37.6875 Mb.
Time: 84.0379419327 seconds, RAM: 37.8671875 Mb.
Time: 81.9849669933 seconds, RAM: 37.72265625 Mb.
